Time_Index,NG,None,coal,uranium
330,2.03,0.00,2.47,0.70
331,2.03,0.00,2.47,0.70
332,2.03,0.00,2.47,0.70
333,2.03,0.00,2.47,0.70
334,2.03,0.00,2.47,0.70
335,2.03,0.00,2.47,0.70
336,2.03,0.00,2.47,0.70
337,2.03,0.00,2.47,0.70
338,2.03,0.00,2.47,0.70
339,2.03,0.00,2.47,0.70
340,2.03,0.00,2.47,0.70
341,2.03,0.00,2.47,0.70
342,2.03,0.00,2.47,0.70
343,2.03,0.00,2.47,0.70
344,2.03,0.00,2.47,0.70
345,2.03,0.00,2.47,0.70
346,2.03,0.00,2.47,0.70
347,2.03,0.00,2.47,0.70
348,2.03,0.00,2.47,0.70
349,2.03,0.00,2.47,0.70
350,2.03,0.00,2.47,0.70
351,2.03,0.00,2.47,0.70
352,2.03,0.00,2.47,0.70
353,2.03,0.00,2.47,0.70
354,2.03,0.00,2.47,0.70
355,2.03,0.00,2.47,0.70
356,2.03,0.00,2.47,0.70
357,2.03,0.00,2.47,0.70
358,2.03,0.00,2.47,0.70
359,2.03,0.00,2.47,0.70
360,2.03,0.00,2.47,0.70
361,2.03,0.00,2.47,0.70
362,2.03,0.00,2.47,0.70
363,2.03,0.00,2.47,0.70
364,2.03,0.00,2.47,0.70
365,2.03,0.00,2.47,0.70
366,2.03,0.00,2.47,0.70
367,2.03,0.00,2.47,0.70
368,2.03,0.00,2.47,0.70
369,2.03,0.00,2.47,0.70
370,2.03,0.00,2.47,0.70
371,2.03,0.00,2.47,0.70
372,2.03,0.00,2.47,0.70
373,2.03,0.00,2.47,0.70
374,2.03,0.00,2.47,0.70
375,2.03,0.00,2.47,0.70
376,2.03,0.00,2.47,0.70
377,2.03,0.00,2.47,0.70
378,2.03,0.00,2.47,0.70
379,2.03,0.00,2.47,0.70
380,2.03,0.00,2.47,0.70
381,2.03,0.00,2.47,0.70
382,2.03,0.00,2.47,0.70
383,2.03,0.00,2.47,0.70
384,2.03,0.00,2.47,0.70
385,2.03,0.00,2.47,0.70
386,2.03,0.00,2.47,0.70
387,2.03,0.00,2.47,0.70
388,2.03,0.00,2.47,0.70
389,2.03,0.00,2.47,0.70
390,2.03,0.00,2.47,0.70
391,2.03,0.00,2.47,0.70
392,2.03,0.00,2.47,0.70
393,2.03,0.00,2.47,0.70
