Unnamed: 0.1,Unnamed: 0,index,region,technology,Existing_Cap_MW,Cap_Size,CapRes_1,CES,cluster,Commit,Down_Time,DR,Eff_Down,Eff_Up,ESR_1,H2_TMR_1,Existing_Cap_MWh,Existing_Charge_Cap_MW,Fixed_OM_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWhyr,Old_Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Fuel,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Heat_Rate_MMBTU_per_MWh,HYDRO,Hydro_Energy_to_Power_Ratio,Hydro_level,Inv_Cost_Charge_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_per_MWyr,LDS,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Max_Duration,MinCapTag_1,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Min_Duration,Min_Power,MUST_RUN,New_Build,num_units,Num_VRE_Bins,plant_id_eia,Ramp_Dn_Percentage,Ramp_Up_Percentage,Reg_Cost,Resource,RPS,Rsv_Cost,Self_Disch,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,STOR,THERM,unit_id_pudl,Up_Time,Old_Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,VRE,Zone,FLEX,CCS_Rate
20,37,46,TX,Natural Gas Steam Turbine,825.0,412.5,0.93,0,1,1,24,0,0.0,0.0,0,0,0.0,0,0,0,25948.0,27504.88,NG,0.1,0.14,12.44,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.14,0,-1,2,0,"[3470.0, 3470.0]",0.57,0.57,0,natural_gas_steam_turbine,0,0,0,85,13.7,0,1,"[3.0, 4.0]",24,1.02,1.09,0,0,1,0,0
21,38,47,TX,Natural Gas Steam Turbine,521.0,173.73,0.93,0,2,1,24,0,0.0,0.0,0,0,0.0,0,0,0,49776.0,52762.56,NG,0.03,0.03,12.91,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.26,0,-1,3,0,"[3507.0, 56708.0, 56708.0]",0.57,0.57,0,natural_gas_steam_turbine_1,0,0,0,85,13.7,0,1,"[1.0, 1.0, 2.0]",24,1.02,1.09,0,0,1,0,0
22,40,50,TX,Natural Gas Steam Turbine,1326.0,331.5,0.93,0,4,1,24,0,0.0,0.0,0,0,0.0,0,0,0,30271.0,32087.26,NG,0.1,0.07,12.29,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.18,0,-1,4,0,"[3453.0, 3453.0, 3611.0, 3612.0]",0.57,0.57,0,natural_gas_steam_turbine_2,0,0,0,85,13.7,0,1,"[4.0, 5.0, 2.0, 2.0]",24,1.02,1.09,0,0,1,0,0
23,43,53,TX,Natural Gas Steam Turbine,2160.0,360.0,0.93,0,7,1,24,0,0.0,0.0,0,0,0.0,0,0,0,30271.0,32087.26,NG,0.12,0.08,11.51,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.14,0,-1,6,0,"[3452.0, 3548.0, 3601.0, 3611.0, 3612.0, 3612.0]",0.57,0.57,0,natural_gas_steam_turbine_3,0,0,0,85,13.7,0,1,"[2.0, 2.0, 2.0, 1.0, 1.0, 3.0]",24,1.02,1.09,0,0,1,0,0
24,44,54,TX,Natural Gas Steam Turbine,1265.0,421.67,0.93,0,8,1,24,0,0.0,0.0,0,0,0.0,0,0,0,25948.0,27504.88,NG,0.07,0.07,13.74,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.23,0,-1,3,0,"[3491.0, 3491.0, 3491.0]",0.57,0.57,0,natural_gas_steam_turbine_4,0,0,0,85,13.7,0,1,"[3.0, 4.0, 5.0]",24,1.02,1.09,0,0,1,0,0
25,45,55,TX,Natural Gas Steam Turbine,844.0,140.67,0.93,0,9,1,24,0,0.0,0.0,0,0,0.0,0,0,0,49776.0,52762.56,NG,0.09,0.08,12.42,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.16,0,-1,6,0,"[3464.0, 3576.0, 3628.0, 4195.0, 4195.0, 50229.0]",0.57,0.57,0,natural_gas_steam_turbine_5,0,0,0,85,13.7,0,1,"[1.0, 3.0, 3.0, 2.0, 3.0, 1.0]",24,1.02,1.09,0,0,1,0,0
26,46,56,TX,Natural Gas Steam Turbine,421.0,747.5,0.93,0,10,1,24,0,0.0,0.0,0,0,0.0,0,0,0,25948.0,27504.88,NG,0.0,0.0,11.25,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.09,0,-1,2,0,"[3460.0, 3460.0]",0.57,0.57,0,natural_gas_steam_turbine_6,0,0,0,85,13.7,0,1,"[1.0, 2.0]",24,1.02,1.09,0,0,1,0,0
27,47,57,TX,Natural Gas Steam Turbine,248.0,82.67,0.93,0,11,1,24,0,0.0,0.0,0,0,0.0,0,0,0,49776.0,52762.56,NG,0.12,0.12,13.72,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.2,0,-1,3,0,"[3576.0, 3576.0, 3628.0]",0.57,0.57,0,natural_gas_steam_turbine_7,0,0,0,85,13.7,0,1,"[1.0, 2.0, 1.0]",24,1.02,1.09,0,0,1,0,0
28,48,58,TX,Natural Gas Steam Turbine,392.0,392.0,0.93,0,12,1,24,0,0.0,0.0,0,0,0.0,0,0,0,30271.0,32087.26,NG,0.0,0.0,13.82,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.14,0,-1,1,0,[3452.0],0.57,0.57,0,natural_gas_steam_turbine_8,0,0,0,85,13.7,0,1,[1.0],24,1.02,1.09,0,0,1,0,0
29,50,61,TX,Natural Gas Steam Turbine,1461.0,365.25,0.93,0,14,1,24,0,0.0,0.0,0,0,0.0,0,0,0,30271.0,32087.26,NG,0.08,0.06,11.78,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.11,0,-1,4,0,"[3490.0, 3490.0, 3504.0, 3548.0]",0.57,0.57,0,natural_gas_steam_turbine_9,0,0,0,85,13.7,0,1,"[1.0, 2.0, 2.0, 1.0]",24,1.02,1.09,0,0,1,0,0
30,51,62,TX,Natural Gas Steam Turbine,430.0,215.0,0.93,0,15,1,24,0,0.0,0.0,0,0,0.0,0,0,0,49776.0,52762.56,NG,0.06,0.09,12.02,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.23,0,-1,2,0,"[3628.0, 4939.0]",0.57,0.57,0,natural_gas_steam_turbine_10,0,0,0,85,13.7,0,1,"[2.0, 1.0]",24,1.02,1.09,0,0,1,0,0
31,52,63,TX,Natural Gas Steam Turbine,169.0,169.0,0.93,0,16,1,24,0,0.0,0.0,0,0,0.0,0,0,0,25948.0,27504.88,NG,0.0,0.0,12.17,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.18,0,-1,1,0,[3470.0],0.57,0.57,0,natural_gas_steam_turbine_11,0,0,0,85,13.7,0,1,[1.0],24,1.02,1.09,0,0,1,0,0
32,53,64,TX,Natural Gas Steam Turbine,169.0,169.0,0.93,0,17,1,24,0,0.0,0.0,0,0,0.0,0,0,0,25948.0,27504.88,NG,0.0,0.0,14.0,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.18,0,-1,1,0,[3470.0],0.57,0.57,0,natural_gas_steam_turbine_12,0,0,0,85,13.7,0,1,[2.0],24,1.02,1.09,0,0,1,0,0
33,55,66,TX,Nuclear,2520.0,1280.0,0.93,1,1,1,36,0,1.0,1.0,0,0,0.0,0,0,0,187522.0,198773.32,uranium,0.0,0.0,10.46,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.5,0,-1,2,0,"[6251.0, 6251.0]",0.25,0.25,0,nuclear,0,0,0,1000,0.0,0,1,"['6251_1', '6251_2']",36,2.35,2.49,0,0,1,0,0
34,56,67,TX,Nuclear,2460.0,1230.0,0.93,1,2,1,36,0,1.0,1.0,0,0,0.0,0,0,0,187522.0,198773.32,uranium,0.0,0.0,10.46,0,0.0,0.0,0,0,0.0,0,-1,-1,-1,0,0,0,0,0,0.0,0.5,0,-1,2,0,"[6145.0, 6145.0]",0.25,0.25,0,nuclear_1,0,0,0,1000,0.0,0,1,"['6145_1', '6145_2']",36,2.35,2.49,0,0,1,0,0
